👋|👋🏻|👋🏼|👋🏽|👋🏾|👋🏿
🤚|🤚🏻|🤚🏼|🤚🏽|🤚🏾|🤚🏿
🖐️|🖐🏻|🖐🏼|🖐🏽|🖐🏾|🖐🏿
✋|✋🏻|✋🏼|✋🏽|✋🏾|✋🏿
🖖|🖖🏻|🖖🏼|🖖🏽|🖖🏾|🖖🏿
🫱|🫱🏻|🫱🏼|🫱🏽|🫱🏾|🫱🏿
🫲|🫲🏻|🫲🏼|🫲🏽|🫲🏾|🫲🏿
🫳|🫳🏻|🫳🏼|🫳🏽|🫳🏾|🫳🏿
🫴|🫴🏻|🫴🏼|🫴🏽|🫴🏾|🫴🏿
🫷|🫷🏻|🫷🏼|🫷🏽|🫷🏾|🫷🏿
🫸|🫸🏻|🫸🏼|🫸🏽|🫸🏾|🫸🏿
👌|👌🏻|👌🏼|👌🏽|👌🏾|👌🏿
🤌|🤌🏻|🤌🏼|🤌🏽|🤌🏾|🤌🏿
🤏|🤏🏻|🤏🏼|🤏🏽|🤏🏾|🤏🏿
✌️|✌🏻|✌🏼|✌🏽|✌🏾|✌🏿
🤞|🤞🏻|🤞🏼|🤞🏽|🤞🏾|🤞🏿
🫰|🫰🏻|🫰🏼|🫰🏽|🫰🏾|🫰🏿
🤟|🤟🏻|🤟🏼|🤟🏽|🤟🏾|🤟🏿
🤘|🤘🏻|🤘🏼|🤘🏽|🤘🏾|🤘🏿
🤙|🤙🏻|🤙🏼|🤙🏽|🤙🏾|🤙🏿
👈|👈🏻|👈🏼|👈🏽|👈🏾|👈🏿
👉|👉🏻|👉🏼|👉🏽|👉🏾|👉🏿
👆|👆🏻|👆🏼|👆🏽|👆🏾|👆🏿
🖕|🖕🏻|🖕🏼|🖕🏽|🖕🏾|🖕🏿
👇|👇🏻|👇🏼|👇🏽|👇🏾|👇🏿
☝️|☝🏻|☝🏼|☝🏽|☝🏾|☝🏿
🫵|🫵🏻|🫵🏼|🫵🏽|🫵🏾|🫵🏿
👍|👍🏻|👍🏼|👍🏽|👍🏾|👍🏿
👎|👎🏻|👎🏼|👎🏽|👎🏾|👎🏿
✊|✊🏻|✊🏼|✊🏽|✊🏾|✊🏿
👊|👊🏻|👊🏼|👊🏽|👊🏾|👊🏿
🤛|🤛🏻|🤛🏼|🤛🏽|🤛🏾|🤛🏿
🤜|🤜🏻|🤜🏼|🤜🏽|🤜🏾|🤜🏿
👏|👏🏻|👏🏼|👏🏽|👏🏾|👏🏿
🙌|🙌🏻|🙌🏼|🙌🏽|🙌🏾|🙌🏿
🫶|🫶🏻|🫶🏼|🫶🏽|🫶🏾|🫶🏿
👐|👐🏻|👐🏼|👐🏽|👐🏾|👐🏿
🤲|🤲🏻|🤲🏼|🤲🏽|🤲🏾|🤲🏿
🤝|🤝🏻|🤝🏼|🤝🏽|🤝🏾|🤝🏿
🙏|🙏🏻|🙏🏼|🙏🏽|🙏🏾|🙏🏿
✍️|✍🏻|✍🏼|✍🏽|✍🏾|✍🏿
💅|💅🏻|💅🏼|💅🏽|💅🏾|💅🏿
🤳|🤳🏻|🤳🏼|🤳🏽|🤳🏾|🤳🏿
